id,name,pure_name,internal_id,nickname,official_url,resplendent_url,resplendent_costume,resplendent_date,skills,skill_rarity,sex,release_date,thumb,english_name,epithet,english_epithet,description,origin,how_to_get,type,weapon_type,move_type,illustrator,cv,special_type,duo_skill,is_distributed,resplendent,rarity,rarity3,strength,weekness,recommend,hp_5,atk_5,spd_5,def_5,res_5,hp_5_lv1,atk_5_lv1,spd_5_lv1,def_5_lv1,res_5_lv1,style
337,"温泉カミラ","|カミラ|","","",https://guide.fire-emblem-heroes.com/11005005000337-2/,"","",,"|巾着袋+|凶星|攻撃速さ2|飛刃の鼓舞|","|巾着袋:4|巾着袋+:5|星影:4|凶星:4|攻撃1:4|攻撃速さ1:4|攻撃速さ2:5|攻撃の鼓舞1:4|攻撃の鼓舞2:4|飛刃の鼓舞:4|","女",2019-01-26,Hostile-Camilla-Icon.png,Camilla,"湯けむりの秘密","Steamy Secrets","暗夜王国の王女。カムイを溺愛している。 優しく穏やかな性格だが、敵に対しては冷酷。 (登場:『ファイアーエムブレム if』)",if,"戦渦の連戦","無","暗器","飛行",|lack|,"|沢城みゆき|","","",true,,"星5|星4","星5|星4","","","",38,33,35,17,28,16,9,9,4,6,""
338,"ドーマ","|ドーマ|","","",https://guide.fire-emblem-heroes.com/duma_god_of_strength/,"","",,"|邪神のブレス|竜裂|獅子奮迅4|守備魔防の孤軍3|攻撃隊形3|メガクェイク・神|メガクェイク|","|火のブレス:5|火炎のブレス:5|灼熱のブレス:5|邪神のブレス:5|伏竜:5|竜裂:5|守備魔防の孤軍1:5|守備魔防の孤軍2:5|守備魔防の孤軍3:5|攻撃隊形1:5|攻撃隊形2:5|攻撃隊形3:5|メガクェイク:5|","男",2019-01-30,Duma-Icon.png,Duma,"力の神","God of Strength","力を司る神竜。ミラの兄妹神。バレンシア大陸を巡り ミラと争い、大陸を二分し北のリゲルの地を治める。 (登場:『ファイアーエムブレム Echoes』)",Echoes,"神階英雄ガチャ","無","無竜","重装","|米子|","|銀河万丈|","|神階理|Hp5_Atk3|","","",,"星5","星5","","","",48,40,21,34,31,24,10,6,8,7,""
339,"バレンタイングレイル","|グレイル|","","",https://guide.fire-emblem-heroes.com/greil_heroic_exemplar/,"","",,"|祝祭の斧+|天空|獅子奮迅4|守備隊形3|重装の行軍3|","|鉄の斧:5|鋼の斧:5|祝祭の斧:5|祝祭の斧+:5|影月:5|月光:5|天空:5|獅子奮迅1:5|獅子奮迅2:5|獅子奮迅3:5|獅子奮迅4:5|守備隊形1:5|守備隊形2:5|守備隊形3:5|重装の行軍1:5|重装の行軍2:5|重装の行軍3:5|","男",2019-02-08,V-Greil-Icon.png,Greil,"雄々しき背中","Heroic Exemplar","グレイル傭兵団の初代団長。 アイクとミストの父。愛の祭で家族と再会する。 (登場:「ファイアーエムブレム 蒼炎の軌跡」)","蒼炎の軌跡","超英雄","緑","斧","重装","|Daisuke Izuka|","|長嶝高士|","","",pay,,"星5","星5","","","",47,41,18,38,30,23,11,5,10,6,""
340,"バレンタインセネリオ","|セネリオ|","","",https://guide.fire-emblem-heroes.com/soren_addled_strategist/,"","",,"|青の花かご+|攻撃速さの応援+|攻撃魔防の絆3|速さの共謀3|魔防の開放3|","|サンダー:5|エルサンダー:5|青の花かご:5|青の花かご+:5|速さの応援:5|攻撃速さの応援:5|攻撃速さの応援+:5|攻撃魔防の絆1:5|攻撃魔防の絆2:5|攻撃魔防の絆3:5|速さの共謀1:5|速さの共謀2:5|速さの共謀3:5|魔防の開放1:5|魔防の開放2:5|魔防の開放3:5|","男",2019-02-08,V-Soren-Icon.png,Soren,"とまどいの参謀","Addled Strategist","グレイル傭兵団の参謀。 冷徹な現実主義者だが、アイクには心を開いている。 (登場:『ファイアーエムブレム 蒼炎の軌跡』)","蒼炎の軌跡","超英雄","青","青魔","騎馬","|ミヤジマハル|","|村瀬歩|","","",pay,,"星5","星5","","","",37,35,33,14,25,18,9,9,4,3,""
341,"バレンタインミスト","|ミスト|","","",https://guide.fire-emblem-heroes.com/mist_purest_spirit/,"","",,"|緑の花かご+|守備魔防の応援+|鬼神飛燕の一撃2|魔防の共謀3|緑魔の技量3|","|ウインド:5|エルウインド:5|緑の花かご:5|緑の花かご+:5|魔防の応援:5|守備魔防の応援:5|守備魔防の応援+:5|飛燕の一撃1:5|鬼神飛燕の一撃1:5|鬼神飛燕の一撃2:5|魔防の共謀1:5|魔防の共謀2:5|魔防の共謀3:5|緑魔の技量1:5|緑魔の技量2:5|緑魔の技量3:5|","女",2019-02-08,V-Mist-Icon.png,"Mist ","無垢なる想い","Purest Spirit","グレイル傭兵団の一員。 アイクの妹。明るく快活で、世話好き。 (登場:『ファイアーエムブレム 蒼炎の軌跡』)","蒼炎の軌跡","超英雄","緑","緑魔","騎馬","|みわべさくら|","|榎本温子|","","",pay,,"星5","星5","","","",36,34,34,17,23,17,10,8,4,4,""
342,"バレンタインアイク","|アイク|","","",https://guide.fire-emblem-heroes.com/ike_stalwart_heart/,"","",,"|祝祭の剣+|蒼の天空|遠距離反撃|奥義隊形3|速さの波・偶数3|","|鉄の剣:5|鋼の剣:5|祝祭の剣:5|祝祭の剣+:5|陽影:5|太陽:5|蒼の天空:5|遠距離反撃:5|奥義隊形1:5|奥義隊形2:5|奥義隊形3:5|速さの波・偶数1:5|速さの波・偶数2:5|速さの波・偶数3:5|","男",2019-02-08,V-Ike-Icon.png,Ike,"想いを力に","Stalwart Heart","父の後を継ぎ、グレイル傭兵団の長となった青年。 口数少なく無愛想だが、心根は優しい。 (登場:『ファイアーエムブレム 蒼炎の軌跡』)","蒼炎の軌跡","超英雄","赤","剣","重装","|北千里|","|萩道彦|","","",pay,,"星5","星5","","","",45,37,38,35,19,21,9,10,9,6,""
343,"バレンタインティアマト","|ティアマト|","","",https://guide.fire-emblem-heroes.com/titania_warm_knight/,"","",,"|花輪+|入れ替え|相性激化3|攻撃魔防の連携3|","|ファイアー:4|エルファイアー:4|花輪:4|花輪+:5|入れ替え:4|相性激化1:4|相性激化2:4|相性激化3:5|攻撃魔防の連携1:4|攻撃魔防の連携2:4|攻撃魔防の連携3:4|","女",2019-02-10,V-Titania-Icon.png,Titania,"恩情の騎士","Warm Knight","グレイル傭兵団の副長。 元騎士で、誇りを重んじる理想主義者。 (登場:『ファイアーエムブレム 蒼炎の軌跡』)","蒼炎の軌跡","戦渦の連戦","赤","赤魔","騎馬","|ワダサチコ|","|宮川美保|","","",true,,"星5|星4","星5|星4","","","",35,30,33,17,30,16,8,9,4,6,""
344,"フランネル","|フランネル|","","",https://guide.fire-emblem-heroes.com/keaton_lupine_collector/,"","",,"|人狼王の爪牙|竜裂|奥義の螺旋3|獣の技量3|","|人狼王の爪牙:5|幼獣の化身・歩行:5|若獣の化身・歩行:5|成獣の化身・歩行:5|伏竜:5|竜裂:5|奥義の螺旋1:5|奥義の螺旋2:5|奥義の螺旋3:5|獣の技量1:5|獣の技量2:5|獣の技量3:5|","男",2019-02-20,Keaton-Icon.png,Keaton,"人狼の長","Lupine Collector","カイエン峰を根城とする人狼、ガルーたちの長。 人懐っこいが、素直になれない性格。 (登場:『ファイアーエムブレム if』)",if,"ガチャ","赤","赤獣","歩行","|大熊ゆうご|","|大須賀純|","","","",,"星5","星5","","","",45,41,24,38,19,19,11,7,8,4,""
345,"ベロア","|ベロア|","","",https://guide.fire-emblem-heroes.com/velouria_wolf_cub/,"","",,"|人狼娘の爪牙|月光|近距離防御3|獣盾の紋章|","|幼獣の化身・歩行:5|若獣の化身・歩行:5|成獣の化身・歩行:5|人狼娘の爪牙:5|影月:5|月光:5|近距離防御1:5|近距離防御2:5|近距離防御3:5|守備の紋章1:5|守備の紋章2:5|獣盾の紋章:5|","女",2019-02-20,Velouria-Icon.png,"Velouria ","狼の娘","Wolf Cub","フランネルの娘で人狼の血を引く。 毛玉やホコリ、ガラクタを収集する癖がある。 (登場:『ファイアーエムブレム if』)",if,"ガチャ","無","獣","歩行","|かわすみ|","|荒川美穂|","","","",,"星5","星5","","","",40,35,37,33,23,18,9,9,7,6,""
346,"ニシキ","|ニシキ|","","",https://guide.fire-emblem-heroes.com/kaden_kitsune_braggart/,"","",,"|妖狐王の爪牙|回り込み|速さ魔防の連携3|獣刃の紋章|","|幼獣の化身・騎馬:5|若獣の化身・騎馬:5|成獣の化身・騎馬:5|妖狐王の爪牙:5|回り込み:5|速さ魔防の連携1:5|速さ魔防の連携2:5|速さ魔防の連携3:5|攻撃の紋章1:5|攻撃の紋章2:5|獣刃の紋章:5|","男",2019-02-20,Kaden-Icon.png,Kaden,"妖狐の長","Kitsune Braggart","妖狐たちが隠れ住む里の長。 毛並みの美しさに絶対の自身を持つ。 （登場:『ファイアーエムブレム if』）",if,"ガチャ","緑","緑獣","騎馬","|久杉トク|","|高橋勇太|","","","",,"星5","星5","","","",38,32,36,25,25,16,8,10,6,6,""
347,"キヌ","|キヌ|","","",https://guide.fire-emblem-heroes.com/selkie_free_spirit/,"","",,"|妖狐娘の爪牙|氷蒼|攻撃速さの絆3|攻撃の混乱3|魔防の波・偶数3|","|幼獣の化身・騎馬:5|若獣の化身・騎馬:5|成獣の化身・騎馬:5|妖狐娘の爪牙:5|氷点:5|氷蒼:5|攻撃速さの絆1:5|攻撃速さの絆2:5|攻撃速さの絆3:5|攻撃の混乱1:5|攻撃の混乱2:5|攻撃の混乱3:5|魔防の波・偶数1:5|魔防の波・偶数2:5|魔防の波・偶数3:5|","女",2019-02-20,Selkie-Icon.png,Selkie,"じゃれつき妖狐","Free Spirit","ニシキの娘で妖狐の血を引く。 好奇心が強く、なんでも挑戦する恐れ知らず。 （登場:『ファイアーエムブレム if』）",if,"ガチャ","青","青獣","騎馬","|円居雄一郎|","|中恵光城|","","","",,"星5","星5","","","",35,29,38,19,35,16,7,10,4,9,""
348,"ベルベット","|ベルベット|","","",https://guide.fire-emblem-heroes.com/panne_proud_taguel/,https://fehpass.fire-emblem-heroes.com/ja/00049003000348/,"ヨトゥン",2026-01-25,"|タグエルの爪牙|流星|速さの封印3|守備の紫煙3|","|幼獣の化身・騎馬:3|若獣の化身・騎馬:3|成獣の化身・騎馬:3|タグエルの爪牙:5|星影:3|流星:4|速さの封印1:3|速さの封印2:4|速さの封印3:5|守備の紫煙3:4|守備の紫煙1:3|守備の紫煙2:3|","女",2019-02-24,Panne-Icon.png,Panne,"誇り高きタグエル","Proud Taguel","獣に変身する種族であるタグエルの生き残り。落ち着いていて、芯の強い性格。(登場:『ファイアーエムブレム覚醒』)","覚醒","大英雄戦","青","青獣","騎馬","|チーコ|元気エンジン|","|増田ゆき|",,"",true,true,"星3|星4","星4|星3","","","",41,29,34,30,23,17,7,10,8,4,""
349,"伝承ロイ","|ロイ|","","|伝ロイ|",https://guide.fire-emblem-heroes.com/roy_blazing_lion/,"","",,"|魔竜封印の剣|竜穿|強化増幅3|回避・怒り3|回復3|人の可能性を!・承|人の可能性を!|","|鉄の剣:5|鋼の剣:5|銀の剣:5|魔竜封印の剣:5|伏竜:5|竜穿:5|強化増幅1:5|強化増幅2:5|強化増幅3:5|回復1:5|回避・怒り3:5|回復2:5|回復3:5|人の可能性を!・承:5|人の可能性を!:5|","男",2019-02-27,Legendary-Roy-Icon.png,Roy,"封炎の若獅子","Blazing Lion","フェレ侯爵家の嫡男。数奇な運命をくぐり抜けて ベルン動乱を制し、人竜の争いに終止符を打つ。 (登場:『ファイアーエムブレム　封印の剣』)","封印の剣","伝承英雄ガチャ","赤","剣","歩行","|めか|","|福山潤|","|伝承火|死闘175|ダブル|Hp3|","",pay,,"星5","星5","","","",39,34,38,32,26,17,10,10,8,4,""
350,"ルゥ","|ルゥ|","","",https://guide.fire-emblem-heroes.com/lugh_anima_child/,"","",,"|純理の書|グルンサーペント+|魔防の大応援+|鬼神明鏡の構え2|攻撃の共謀3|","","男",2019-03-08,Lugh-Icon.png,Lugh,"理の申し子","Anima Child","孤児院出身の少年。レイとは双子の兄弟。 ほがらかな性格で、心優しい。 （登場:『ファイアーエムブレム 封印の剣』）","封印の剣","ガチャ","緑","緑魔","歩行","|日向悠二|","|竹内順子|","","","",,"星5","星5","","","",37,35,36,17,31,18,5,12,4,7,""
351,"スー","|スー|","","",https://guide.fire-emblem-heroes.com/sue_doe_of_the_plains/,"","",,"|颯弓ミュルグレ|短弓+|月虹|鬼神飛燕の一撃2|守備の封印3|速さの鼓舞4|","|颯弓ミュルグレ:5|短弓:5|短弓+:5|影月:5|月虹:5|鬼神飛燕の一撃1:5|鬼神飛燕の一撃2:5|守備の封印1:5|守備の封印2:5|守備の封印3:5|速さの鼓舞1:5|速さの鼓舞2:5|速さの鼓舞3:5|速さの鼓舞4:5|","女",2019-03-08,Sue-Icon.png,Sue,"草原の牝鹿","Doe of the Plains","クトラ族の長である【灰色の狼】ダヤンの孫娘。 天と地の「声」を聞き、自然と共に生きる。 (登場:『ファイアーエムブレム 封印の剣』)","封印の剣","ガチャ","緑","緑弓","騎馬","|まよ|","|ささきのぞみ|","","","",,"星5","星5","","","",36,32,38,23,20,17,8,10,4,5,""
352,"ティト","|ティト|","","",https://guide.fire-emblem-heroes.com/thea_stormy_flier/,"","",,"|氷槍マルテ|守りの槍+|華炎|飛燕金剛の構え2|速さ守備封じ2|","|鋼の槍:3|守りの槍:3|守りの槍+:5|蛍火:3|華炎:4|飛燕の構え1:3|飛燕金剛の構え1:3|飛燕金剛の構え2:4|速さ封じ1:3|速さ守備封じ1:4|速さ守備封じ2:5|","女",2019-03-08,Thea-Icon.png,Thea,"疾風の天馬騎士","Stormy Flier","シャニーの姉で、天馬騎士団の部隊長。 誠実で腕が立つが、融通が利かない一面も。 (登場:『ファイアーエムブレム 封印の剣』)","封印の剣","ガチャ","青","槍","飛行",|Tobi|,"|村井かずさ|","","","",,"星5","星4|星3","","","",37,31,35,31,28,18,5,11,7,6,""
353,"イドゥン","|イドゥン|","","",https://guide.fire-emblem-heroes.com/idunn_dark_priestess/,"","",,"|魔竜のブレス|緋炎|守備魔防の城塞3|迎撃隊形3|竜盾の紋章|","|魔竜のブレス:5|緋炎:5|守備魔防の城塞1:5|守備魔防の城塞2:5|守備魔防の城塞3:5|迎撃隊形1:5|迎撃隊形2:5|迎撃隊形3:5|竜盾の紋章:5|","女",2019-03-08,Idunn-Icon.png,Idunn,"暗闇の巫女","Dark Priestess","人竜戦役の際に竜族により魔竜と化した者。 ゼフィールの手で目覚め、その野望に協力する。 (登場:『ファイアーエムブレム 封印の剣』)","封印の剣","ガチャ","赤","赤竜","重装","|山田孝太郎|","|種田梨沙|","","","",,"星5","星5","","","",45,35,26,39,34,19,11,4,9,4,""
354,"ルトガー","|ルトガー|","","",https://guide.fire-emblem-heroes.com/rutger_lone_swordsman/,"","",,"|流浪の鋭剣|キルソード鍛+|復讐|攻撃守備の絆3|攻め立て3|","|流浪の鋭剣:5|鉄の剣:3|鋼の剣:3|キルソード鍛:4|キルソード鍛+:5|雪辱:3|復讐:4|攻撃守備の絆1:3|攻撃守備の絆2:4|攻撃守備の絆3:4|待ち伏せ1:3|待ち伏せ2:4|待ち伏せ3:5|","男",2019-03-11,Rutger-Icon.png,Rutger,"孤高の剣士","Lone Swordsman","サカ地方の交易都市ブルガル出身の剣士。 一族を滅ぼされ、ベルン王国に復讐を誓う。 （登場:『ファイアーエムブレム　封印の剣』）","封印の剣","大英雄戦","赤","剣","歩行","|板垣ハコ|","|水中雅章|","","",true,,"星3|星4","星4|星3","","","",44,32,39,29,24,20,8,9,7,5,""
355,"春パオラ","|パオラ|","","",https://guide.fire-emblem-heroes.com/01004004000355/,"","",,"|天馬のニンジン+|竜裂|鬼神飛燕の一撃2|罠解除3|飛刃の鼓舞|","|天馬のニンジン:5|天馬のニンジン+:5|竜裂:5|鬼神飛燕の一撃1:5|鬼神飛燕の一撃2:5|罠解除1:5|罠解除2:5|罠解除3:5|飛刃の鼓舞:5|","女",2019-03-19,S-Palla-Icon.png,Palla,"兎姉妹の長姉","Eldest Bun-Bun","マケドニア王国のペガサス三姉妹の長女。 世話好きで、包容力にあふれた性格。 (登場:『ファイアーエムブレム 紋章の謎』)","紋章の謎","超英雄","赤","赤暗器","飛行","|まよ|","|種田梨沙|","","","",,"星5","星5","","","",38,37,34,17,29,19,7,10,4,5,""
356,"春マリカ","|マリカ|","","",https://guide.fire-emblem-heroes.com/07004011000356/,"","",,"|緋閃のニンジン槍+|引き戻し|速さ守備の連携3|飛行の先導3|","|緋閃のニンジン槍:5|緋閃のニンジン槍+:5|引き戻し:5|速さ守備の連携1:5|速さ守備の連携2:5|速さ守備の連携3:5|飛行の先導1:5|飛行の先導2:5|飛行の先導3:5|","女",2019-03-19,S-Marisa.png,Marisa,"緋閃の兎","Crimson Rabbit","ジスト率いる傭兵団の剣士。 常に冷静沈着で、「緋閃」の異名で恐れられている。 (登場:『ファイアーエムブレム 聖魔の光石』)","聖魔の光石","超英雄","青","槍","飛行","|月戸|","|中原麻衣|","","","",,"星5","星5","","","",42,33,38,28,21,18,9,8,6,6,""
357,"春ブルーノ","|ブルーノ|","","",https://guide.fire-emblem-heroes.com/00001004000357/,"","",,"|卵の杖+|セインツ+|祈り|攻撃守備の渾身3|幻惑の杖3|",,"男",2019-03-19,S-Bruno-Icon.png,Bruno,"仮面の春兎","Masked Hare","エンブラ帝国の皇子で、その素性は謎が多い。 兎姿の登場で謎は深まるばかり。","ヒーローズ","超英雄","無","杖","騎馬","|п猫R|","|三木眞一郎|","","","",,"星5","星5","","","",41,30,24,35,14,17,8,5,9,4,""
358,"春ヴェロニカ","|ヴェロニカ|","","",https://guide.fire-emblem-heroes.com/00001005000358/,"","",,"|フェルニルの妖卵|凶星|緑の死闘・飛行3|魔防の封印3|",,"女",2019-03-19,S-Veronica.png,Veronica,"春めく皇女","Spring Princess","エンブラ帝国の皇女。いなくなった兄ブルーノを思い、 その行方を捜し求めている。","ヒーローズ","超英雄","緑","緑魔","飛行","|海鵜げそ|","|日高里菜|","","","",,"星5","星5","","","",38,35,36,16,25,16,9,10,3,6,""
359,"春ロキ","|ロキ|","","",https://guide.fire-emblem-heroes.com/00004001000359/,"","",,"|春の妖弓+|月光|編隊飛行3|飛刃の紋章|","|春の妖弓:4|春の妖弓+:5|影月:4|月光:4|編隊飛行1:4|編隊飛行2:4|編隊飛行3:4|攻撃の鼓舞1:4|攻撃の鼓舞2:4|飛刃の紋章:5|","女",2019-03-23,S-Loki-Icon.png,Loki,"春祭りの戯れ","Spring Trickster","炎の王国ムスペルの軍師。 悪戯好きで、人を誘惑することを好む。","ヒーローズ","戦渦の連戦","無","弓","飛行","|草木原俊行|","|新井里美|","","",true,,"星5|星4","星5|星4","","","",39,31,34,27,25,17,7,8,5,8,""
360,"ユンヌ","|ユンヌ|","","",https://guide.fire-emblem-heroes.com/09049002000360/,"","",,"|負の力|氷華|攻撃魔防の連帯|攻撃魔防の絆3|魔防の混乱3|我が名は混沌・神|我が名は混沌|","|負の力:5|氷華:5|攻撃魔防の絆1:5|攻撃魔防の絆2:5|攻撃魔防の連帯:5|攻撃魔防の絆3:5|魔防の混乱1:5|魔防の混乱2:5|魔防の混乱3:5|我が名は混沌・神:5|我が名は混沌:5|","女",2019-03-29,Yunu-Icon.png,Yune,"目覚めし負の女神","Chaos Goddess","女神アスタテューヌの半身。神話の時代に 世界を混沌に陥れたとされる、【負の女神】。 （登場：『ファイアーエムブレム 暁の女神』）","暁の女神","神階英雄ガチャ","緑","緑魔","飛行","|みわべさくら|","|佐久間紅美|","|神階闇|Hp5_Spd4|","","",,"星5","星5","","","",38,33,27,15,37,16,9,5,5,9,""
361,"ライ","|ライ|","","",https://guide.fire-emblem-heroes.com/09004004000361/,"","",,"|柔なる戦猫の爪牙|攻撃守備の応援+|攻撃の封印3|獣盾の紋章|","|幼獣の化身・騎馬:5|若獣の化身・騎馬:5|成獣の化身・騎馬:5|柔なる戦猫の爪牙:5|守備の応援:5|攻撃守備の応援:5|攻撃守備の応援+:5|攻撃の封印1:5|攻撃の封印2:5|攻撃の封印3:5|速さの鼓舞1:5|速さの鼓舞2:5|獣盾の紋章:5|","男",2019-04-10,Ranulf-Icon.png,Ranulf,"良き友","Friend of Nations","獣牙族の住むガリア王国の猫の民の戦士。 まだ若いが王の信頼厚く、次期王の右腕と目される。 (登場:『ファイアーエムブレム 暁の女神』)","暁の女神","ガチャ","緑","緑獣","騎馬","|めか|","|鈴木達央|","","","",,"","星5","","","",40,30,37,33,17,16,8,11,7,4,""
362,"レテ","|レテ|","","",https://guide.fire-emblem-heroes.com/09004005000362/,"","",,"|剛なる戦猫の爪牙|月虹|速さ守備の孤軍3|獣刃の鼓舞|","|剛なる戦猫の爪牙:5|幼獣の化身・騎馬:5|若獣の化身・騎馬:5|成獣の化身・騎馬:5|影月:5|月虹:5|速さ守備の孤軍1:5|速さ守備の孤軍2:5|速さ守備の孤軍3:5|攻撃の鼓舞1:5|攻撃の鼓舞2:5|獣刃の鼓舞:5|","女",2019-04-10,Lethe-Icon.png,Lethe,"ガリアの女戦士","Gallia's Valkyrie","獣牙族の住むガリア王国の猫の民の戦士。かつては ベオクを嫌悪していたが、その心情も変わりつつある。 (登場:『ファイアーエムブレム 暁の女神』)","暁の女神","ガチャ","赤","赤獣","騎馬",|kaya8|,"|大空直美|","","","",,"","星5","","","",41,33,38,26,19,17,9,10,4,6,""
363,"モゥディ","|モゥディ|","","",https://guide.fire-emblem-heroes.com/09004004000363/,"","",,"|虎戦士の爪牙|ぶちかまし|攻撃守備の連携3|獣の経験3|","|幼獣の化身・歩行:3|若獣の化身・歩行:3|成獣の化身・歩行:3|虎戦士の爪牙:5|ぶちかまし:4|攻撃守備の連携1:3|攻撃守備の連携2:4|攻撃守備の連携3:5|獣の経験1:4|獣の経験2:4|獣の経験3:4|","男",2019-04-10,Mordecai-Icon.png,Mordecai,"優しき背","Kindhearted Tiger","獣牙族の住むガリア王国の虎の民の戦士。 心優しい巨漢で、争いごとは嫌い。 （登場:『ファイアーエムブレム 暁の女神』）","暁の女神","ガチャ","青","青獣","歩行","|ホマ蔵|","|江越彬紀|","","","",,"","星4|星3","","","",47,37,24,39,20,19,11,5,9,5,""
364,"カイネギス","|カイネギス|","","|ネギ氏|ネギ|ネギおじさん|",https://guide.fire-emblem-heroes.com/09004001000364/,"","",,"|獅子王の爪牙|成獣の化身・重装|幼獣の化身・重装|緋炎|遠距離防御4|迎撃隊形3|遠距離警戒3|","|幼獣の化身・重装:5|若獣の化身・重装:5|成獣の化身・重装:5|獅子王の爪牙:5|蛍火:5|緋炎:5|遠距離防御1:5|遠距離防御2:5|遠距離防御3:5|遠距離防御4:5|迎撃隊形1:5|迎撃隊形2:5|迎撃隊形3:5|遠距離警戒1:5|遠距離警戒2:5|遠距離警戒3:5|","男",2019-04-10,Caineghis-Icon.png,Caineghis,"ガリアの獅子王","Gallia's Lion King","獣牙族の住むガリア王国を統べる獅子の民の王。 知勇を兼備し、ベオクとの友好の道を模索している。 （登場:『ファイアーエムブレム 暁の女神』）","暁の女神","ガチャ","無","獣","重装","|北千里|","|白熊寛嗣|","","","",,"","星5","","","",47,37,23,37,30,23,9,4,11,8,""
365,"ハール","|ハール|","","",https://guide.fire-emblem-heroes.com/09029005000365/,https://fehpass.fire-emblem-heroes.com/ja/00029005000365/,"ニザヴェリル",2024-08-25,"|黒疾風の爪斧|勇者の斧+|入れ替え|キャンセル3|守備の波・奇数3|","|黒疾風の爪斧:5|鉄の斧:3|鋼の斧:3|勇者の斧:3|勇者の斧+:5|入れ替え:3|キャンセル1:3|キャンセル2:4|キャンセル3:5|守備の波・奇数1:3|守備の波・奇数2:3|守備の波・奇数3:4|","男",2019-04-11,Haar-Icon.png,Haar,"黒疾風","Black Tempest","元デイン軍の竜騎士。腕は一流だが、サボり癖があり、よく居眠りしている。(登場:『ファイアーエムブレム暁の女神』)","暁の女神","大英雄戦","緑","斧","飛行","|霜村航|コウ|","|江口拓也|",,"",true,true,"","星4|星3","","","",45,37,25,36,18,17,9,6,10,5,""
366,"ピクニックフローラ","|フローラ|","","",https://guide.fire-emblem-heroes.com/11007001000369/,"","",,"|セーフリムニル|氷蒼|攻撃魔防の防城戦3|攻撃隊形3|重装の行軍3|","|セーフリムニル:5|氷蒼:5|攻撃魔防の防城戦1:5|攻撃魔防の防城戦2:5|攻撃魔防の防城戦3:5|攻撃隊形1:5|攻撃隊形2:5|攻撃隊形3:5|重装の行軍1:5|重装の行軍2:5|重装の行軍3:5|","女",2019-04-19,S-Flora-Icon.png,Flora,"お弁当も完璧","Signature Dish","氷の部族出身でフェリシアの双子の姉。 お出かけの計画から当日の準備まで、お任せあれ！ (登場:『ファイアーエムブレム if』)",if,"超英雄","赤","赤暗器","重装","|羽公|","|加隈亜衣|","","","",,"","星5","","","",43,38,22,29,38,19,12,5,7,10,""
367,"ピクニックルカ","|ルカ|","","",https://guide.fire-emblem-heroes.com/02001002000367/,"","",,"|行楽の飾り槍+|回り込み|攻撃守備の攻城戦3|守備隊形3|","|行楽の飾り槍:5|行楽の飾り槍+:5|回り込み:5|攻撃守備の攻城戦1:5|攻撃守備の攻城戦2:5|攻撃守備の攻城戦3:5|守備隊形1:5|守備隊形2:5|守備隊形3:5|","男",2019-04-19,S-Lukas-Icon.png,Lukas,"木陰の参謀","Buffet for One","ソフィア解放軍のソルジャー。休暇はなるべく静かに 過ごしたい貴族の青年。人の少ない場所が好き。 (登場:『ファイアーエムブレム　Echoes』)",Echoes,"超英雄","青","槍","重装",|cuboon|,"|櫻井孝宏|","","","",,"","星5","","","",51,37,21,42,22,25,9,6,12,3,""
368,"ピクニックジェニー","|ジェニー|","","",https://guide.fire-emblem-heroes.com/02002004000366/,"","",,"|マシュマロの杖+|リブロー+|業火静水の祝福+|神罰の杖3|守備の開放3|","|マシュマロの杖:5|マシュマロの杖+:5|リブロー:5|リブロー+:5|業火静水の祝福:5|業火静水の祝福+:5|神罰の杖1:5|神罰の杖2:5|神罰の杖3:5|守備の開放1:5|守備の開放2:5|守備の開放3:5|","女",2019-04-19,S-Genny-Icon.png,Genny,"おめかし大好き","Dressed with Care","ノーヴァ島のシスター。引っ込み思案だが、 いつもと違うファッションにはまんざらでもない様子。 （登場:『ファイアーエムブレム　Echoes』）",Echoes,"超英雄","無","杖","騎馬","|アマガイタロー|","|堀中優希|","","","",,"","星5","","","",35,36,24,14,34,16,10,5,4,8,""
369,"ピクニックフェリシア","|フェリシア|","","",https://guide.fire-emblem-heroes.com/11001005000368/,"","",,"|エルドフリムニル|氷華|速さ守備の絆3|奥義隊形3|近距離警戒3|","|エルドフリムニル:5|氷華:5|速さ守備の絆1:5|速さ守備の絆2:5|速さ守備の絆3:5|奥義隊形1:5|奥義隊形2:5|奥義隊形3:5|近距離警戒1:5|近距離警戒2:5|近距離警戒3:5|","女",2019-04-19,S-Felicia-Icon.png,Felicia,"お弁当も半なま","Off the Menu","氷の部族出身でフローラの双子の妹。 一所懸命準備をしたものの、案の定ドジがさく裂！！ (登場:『ファイアーエムブレム if』)",if,"超英雄","緑","斧","重装","|羽公|","|ささきのぞみ|","","","",,"","星5","","","",43,30,37,30,35,21,8,11,8,7,""
